name,percussion,name group,instrument,pitch,sustained,lowlevel.spectral_centroid.mean,lowlevel.spectral_centroid.max,lowlevel.spectral_centroid.min,lowlevel.spectral_centroid.stdev,lowlevel.spectral_flux.max,lowlevel.spectral_flux.mean,lowlevel.spectral_flux.min,lowlevel.spectral_flux.stdev,lowlevel.spectral_rms.max,lowlevel.spectral_rms.mean,lowlevel.spectral_rms.min,lowlevel.spectral_rms.stdev,lowlevel.spectral_spread.max,lowlevel.spectral_spread.mean,lowlevel.spectral_spread.min,lowlevel.spectral_spread.stdev,lowlevel.zerocrossingrate.max,lowlevel.zerocrossingrate.mean,lowlevel.zerocrossingrate.min,lowlevel.zerocrossingrate.stdev,lowlevel.barkbands_flatness_db.max,lowlevel.barkbands_flatness_db.mean,lowlevel.barkbands_flatness_db.min,lowlevel.barkbands_flatness_db.stdev,lowlevel.erbbands_flatness_db.max,lowlevel.erbbands_flatness_db.mean,lowlevel.erbbands_flatness_db.min,lowlevel.erbbands_flatness_db.stdev,lowlevel.melbands_flatness_db.max,lowlevel.melbands_flatness_db.mean,lowlevel.melbands_flatness_db.stdev,lowlevel.melbands_flatness_db.min,centroid,effectiveduration,logattacktime.logpoint1,logattacktime.logpoint2,logattacktime.logpoint3,logattacktime.decimalpoint1,logattacktime.decimalpoint2,logattacktime.decimalpoint3
gui_gref_g_mf_sol3_12,nonpercussive,string,gui,high,not sustained,585.826965332031,11489.8994140625,295.199584960937,650.093994140625,0.248215883970261,0.002951410831884,2.09648260351969E-05,0.015741854906082,0.015719233080745,0.001389485318214,8.21676337636745E-07,0.003017813665792,40903900,3809585.75,176525.40625,3989586.5,0.198461532592773,0.029755357652903,0,0.029424069449306,0.716957926750183,0.438678205013275,0.037361513823271,0.196026474237442,0.632416963577271,0.377548456192017,0.049553446471691,0.207029715180397,0.789732813835144,0.533069252967835,0.197676554322243,0.062917672097683,0.334627747535706,1.76167798042297,-1.38389050960541,0.319070309400559,0.360385477542877,0.041315164891619,2.08482837568515,2.29290191775246
harp_gref_mf_sol0_12,nonpercussive,string,harp,low,not sustained,219.818923950195,501.5390625,147.561050415039,65.2293319702148,0.289545714855194,0.030905244871974,0.00031936733285,0.038264848291874,0.021524330601096,0.002660124097019,2.53809184869169E-06,0.003122872440144,26771554,1810812.75,180879.84375,1821290.25,0.035384614020586,0.01029371842742,0,0.003852547379211,0.661873877048492,0.489666283130646,0.174516245722771,0.065566316246986,0.504121005535126,0.390000253915787,0.097579345107079,0.081568047404289,0.774490773677826,0.626981198787689,0.07112842798233,0.30452224612236,0.245408609509468,2.23777770996094,-1.00996124744415,0.03965986520052,0.137392297387123,0.097732442475696,1.09561978232571,1.37212064053316
harp_gref_mf_sol1_12,nonpercussive,string,harp,low,not sustained,300.126495361328,2845.94287109375,72.890495300293,136.401519775391,0.190185949206352,0.002300786785781,2.53921916737454E-05,0.006829829886556,0.015866857022047,0.001471849158406,2.32130432209487E-07,0.003138350322843,13045498,1637044.25,114123.9609375,2163786,0.213076919317245,0.013306492008269,0,0.011856297962368,0.803845822811127,0.521371245384216,0.057542942464352,0.097238652408123,0.580576241016388,0.432392627000809,0.065012104809284,0.123057536780834,0.877656221389771,0.656432032585144,0.109224498271942,0.033356290310621,0.15018218755722,2.54426312446594,-0.835890054702759,0.036916099488735,0.182834461331368,0.145918361811403,1.08871974535313,1.5234719460777
harp_gref_mf_sol2_12,nonpercussive,string,harp,low,not sustained,221.340637207031,3423.318359375,190.437225341797,107.089782714844,0.314874142408371,0.002613170538098,1.59279006766155E-05,0.014776316471398,0.035544559359551,0.001521418686025,1.08201099635608E-07,0.004888054914773,15232494,2099220.25,103353.9609375,1665151.75,0.486923068761826,0.010060609318316,0.000769230769947,0.015089208260179,0.811009526252747,0.595019280910492,0.089368291199207,0.093793652951717,0.629238247871399,0.454050213098526,0.089702479541302,0.088087327778339,0.941678404808044,0.708819150924683,0.106109358370304,0.028804559260607,0.135140299797058,1.84192740917206,-1.31646704673767,0.044263038784266,0.092517003417015,0.048253959266057,1.10729423491662,1.23741963621108
harp_gref_mf_sol3_12,nonpercussive,string,harp,low,not sustained,396.850494384766,892.89501953125,374.330078125,25.2038860321045,0.182249501347542,0.002818691777065,5.67932620469946E-05,0.010265428572893,0.012041038833559,0.001472610398196,6.64566982777615E-07,0.002665535081178,9271514,1562214.5,176179.625,1552690.5,0.045384615659714,0.016942013055086,0.001538461539894,0.003153261262923,0.752210259437561,0.564690709114075,0.088871970772743,0.107703626155853,0.650887668132782,0.515169680118561,0.085222490131855,0.102509237825871,0.830695569515228,0.670733213424683,0.10773566365242,0.188684523105621,0.234200850129127,2.20757365226746,-1.21291399002075,0.036643989384174,0.09789115935564,0.061247167684898,1.08803781439097,1.25282715851006
harp_gref_mf_sol4_12,nonpercussive,string,harp,high,not sustained,856.549865722656,2382.50170898438,236.825378417969,302.021606445312,0.904031097888946,0.015782780945301,0.00015755862114,0.052632868289948,0.056431692093611,0.002263973699883,1.51106792145583E-06,0.007391070015728,16198539,4696214.5,358036.65625,3111468.25,0.135384619235992,0.026537856087089,0,0.018055567517877,0.655459463596344,0.408487200737,0.05165521800518,0.115963615477085,0.647549748420715,0.313945561647415,0.036459911614657,0.192214414477348,0.702460050582886,0.493107885122299,0.110931716859341,0.103254094719887,0.205876067280769,1.57315194606781,-1.41887080669403,0.031043084338307,0.069160997867584,0.038117919917657,1.07409596312742,1.17262999215963
harp_gref_mf_sol5_12,nonpercussive,string,harp,high,not sustained,1285.62683105469,3696.51953125,95.8051605224609,601.028137207031,0.431504309177399,0.014671441167593,2.47628086071927E-05,0.040379609912634,0.024857435375452,0.001335962442681,1.64196228524816E-06,0.003384987823665,29543282,4589571,252025.15625,3648910.5,0.338461548089981,0.053105883300305,0,0.054896302521229,0.897058486938477,0.480256021022797,0.045628361403942,0.153353109955788,0.673023462295532,0.358542054891586,0.056595657020807,0.168812125921249,0.962478280067444,0.529160261154175,0.165342211723328,0.006309854332358,0.315200001001358,1.54464852809906,-1.56129443645477,0.02458049915731,0.052040815353394,0.027460318084396,1.05823104746153,1.12730339609966
harp_gref_mf_sol6_12,nonpercussive,string,harp,high,not sustained,1525.5380859375,3671.328125,128.318557739258,1192.24853515625,0.518201172351837,0.01168504729867,3.76947173208464E-05,0.041786581277847,0.022478071972728,0.000831841956824,2.54556243817206E-06,0.002358476398513,24806036,7118876.5,589932,3723975,0.347692310810089,0.080080173909664,0,0.076781630516052,0.753923952579498,0.375843375921249,0.055232934653759,0.17964693903923,0.530697524547577,0.200123593211174,0.046847049146891,0.132475957274437,0.823858439922333,0.434274286031723,0.192486703395844,0.03713969886303,0.330877721309662,1.4939455986023,-1.76706731319428,0.022698413580656,0.03979591652751,0.017097502929039,1.05365495436282,1.09596306063568
others_101137__cgeffex__Organ_play-ball-old1,nonpercussive,others,others,high,sustained,606.494567871094,1154.24267578125,298.731414794922,156.202133178711,0.109663560986519,0.020549887791276,0.000139452429721,0.022741327062249,0.010596853680909,0.004689679015428,7.47991043681395E-06,0.00346078700386,12680331,1432390.5,677947.75,1041672.875,0.083076924085617,0.029151974245906,0.00846153870225,0.01078246999532,0.477973014116287,0.387653559446335,0.094881735742092,0.060271497815847,0.438528329133987,0.346003830432892,0.156732082366943,0.036896865814924,0.5510413646698,0.458804428577423,0.057370521128178,0.182486012578011,0.537495315074921,2.22351479530334,0.055338468402624,0.073424033820629,1.20931971073151,1.13589573374682,1.18419721077097,16.1927164388103
others_101137__cgeffex__Organ_play-ball,nonpercussive,others,others,high,sustained,667.388427734375,1211.70031738281,419.127685546875,154.068832397461,0.076685197651386,0.01182013656944,0.000541077868547,0.010808805003762,0.009807432070374,0.004893662407994,4.47414713562466E-05,0.003470037830994,26149500,1635701.25,1029809.25,2508191.25,0.063846156001091,0.030637737363577,0.013076922856271,0.009439503774047,0.469184130430222,0.40943056344986,0.170202299952507,0.042028397321701,0.430729269981384,0.359098821878433,0.208831295371056,0.026221757754684,0.540730655193329,0.47578701376915,0.04522767290473,0.189675152301788,0.524467587471008,1.2773015499115,-0.450451850891113,0.034557823091745,0.38900226354599,0.354444424441731,1.08282387550445,2.44907600641339
